"periode_data","tahun","periode","waktu_sampling","nama_lokasi","kecamatan","lintang_selatan","bujur_timur","parameter","satuan","baku_mutu","nilai"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Warna","TCU","50","11"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Besi Fe","mg L","1","0,09"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Fluorida F-","mg L","1,5","0,49"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Kesadahan CaCO3","mg L","500","89,5"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Mangan Mn","mg L","0,5","0,03"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Nitrat sebagai N","mg L","10","0,5"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Nitrit NO2-N","mg L","1","0,02"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,06"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Sulfat SO42-","mg L","400","42"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Organik KMNO4","mg L","10","4,64"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Total Coliform","CFU 100 ml","50","200"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","E. Coli","CFU 100 ml","50","200"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","pH","-","6,5-8,5","7"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","TDS ppm","mg L","1000","530"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Turbidity NTU","NTU","25","0,1"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Nilai IP","-","-","2,874291898"
"2022","2022","1","Maret - April 2022","Cideng","Gambir","-6,166808333","106,8093056","Kategori","-","-","cemar ringan"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Warna","TCU","50","32"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Besi Fe","mg L","1","0,09"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Fluorida F-","mg L","1,5","0,64"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Kesadahan CaCO3","mg L","500","54,26"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Mangan Mn","mg L","0,5","0,06"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Nitrat sebagai N","mg L","10","0,07"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Nitrit NO2-N","mg L","1","0,01"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Sulfat SO42-","mg L","400","17,95"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Timbal Pb","mg L","0,05","0,04"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Organik KMNO4","mg L","10","8,54"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Total Coliform","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","E. Coli","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","pH","-","6,5-8,5","8,02"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","TDS ppm","mg L","1000","730"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Turbidity NTU","NTU","25","1,1"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Nilai IP","-","-","0,636669746"
"2022","2022","1","Maret - April 2022","Duri Pulo","Gambir","-6,164503","106,808715","Kategori","-","-","baik"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Warna","TCU","50","65"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Besi Fe","mg L","1","0,34"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Fluorida F-","mg L","1,5","0,3"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Kesadahan CaCO3","mg L","500","74,09"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Mangan Mn","mg L","0,5","0,5"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Nitrat sebagai N","mg L","10","0,8"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Nitrit NO2-N","mg L","1","0,2"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,05"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Raksa Hg","mg L","0,001","0,00005"
